year,indicator,disaggregation,disagg.value,value
2012,stunting,age,0-23 months,3.2
2012,stunting,sex,Both,2.2
2012,stunting,sex,Boys,3.1
2012,stunting,sex,Girls,1.3
2014,stunting,age,0-23 months,3.2
2014,stunting,sex,Both,2.4
2014,stunting,sex,Boys,2.6
2014,stunting,sex,Girls,2.2
2016,stunting,age,0-23 months,3.2
2016,stunting,sex,Both,3.5
2016,stunting,sex,Boys,4.6
2016,stunting,sex,Girls,2.5
2018,stunting,age,0-23 months,2.6
2018,stunting,sex,Both,3.4
2018,stunting,sex,Boys,2.8
2018,stunting,sex,Girls,4.1
2000,wasting,age,0-23 months,0.4
2000,wasting,sex,Both,0.5
2000,wasting,sex,Boys,0.9
2000,wasting,sex,Girls,0.1
2002,wasting,age,0-23 months,0.7
2002,wasting,sex,Both,0.3
2002,wasting,sex,Boys,0.5
2002,wasting,sex,Girls,0.1
2004,wasting,age,0-23 months,0.9
2004,wasting,sex,Both,0.7
2004,wasting,sex,Boys,0.6
2004,wasting,sex,Girls,0.9
2006,wasting,age,0-23 months,1.7
2006,wasting,sex,Both,0.9
2006,wasting,sex,Boys,0.6
2006,wasting,sex,Girls,1.1
2008,wasting,age,0-23 months,1.2
2008,wasting,sex,Both,0.6
2008,wasting,sex,Boys,0.8
2008,wasting,sex,Girls,0.4
2010,wasting,age,0-23 months,0.1
2010,wasting,sex,Both,0.1
2010,wasting,sex,Boys,0.2
2010,wasting,sex,Girls,0
2012,wasting,age,0-23 months,0.8
2012,wasting,sex,Both,0.3
2012,wasting,sex,Boys,0.2
2012,wasting,sex,Girls,0.5
2014,wasting,age,0-23 months,0.2
2014,wasting,sex,Both,0.3
2014,wasting,sex,Boys,0.6
2014,wasting,sex,Girls,0
2016,wasting,age,0-23 months,0.9
2016,wasting,sex,Both,0.4
2016,wasting,sex,Boys,0.7
2016,wasting,sex,Girls,0.1
2018,wasting,age,0-23 months,0.1
2018,wasting,sex,Both,0.1
2018,wasting,sex,Boys,0.2
2018,wasting,sex,Girls,0
